10.132.3.167 Avg=341.06
10.132.3.168 Avg=337.97
10.132.3.158 Avg=352.133
10.132.3.177 Avg=349.924
10.132.3.179 Avg=347.643
10.132.3.154 Avg=13.36
10.132.3.181 Avg=1.76333
10.132.3.187 Avg=338.327
10.132.3.186 Avg=336.633
10.132.3.191 Avg=349.693
10.132.3.196 Avg=343.737
10.132.3.205 Avg=349.103
10.132.3.206 Avg=1.14033
10.132.3.209 Avg=3.22367
10.132.3.211 Avg=1.399
10.132.3.197 Avg=14.21
10.132.3.221 Avg=2.14667
10.132.3.228 Avg=1.12667
10.132.3.232 Avg=0.942667
10.132.3.236 Avg=1.117
10.132.3.226 Avg=93.9
10.132.3.253 Avg=343.99
10.132.4.1 Avg=353.186
10.132.4.10 Avg=3.60667
10.132.4.16 Avg=1.43
10.132.4.24 Avg=1.65433
10.132.4.28 Avg=1.52
10.132.4.30 Avg=1.53533
10.132.4.46 Avg=337.743
10.132.4.52 Avg=350.958
10.132.4.59 Avg=334.8
10.132.4.65 Avg=344.45
10.132.4.67 Avg=343.338
10.132.4.75 Avg=1040.73
10.132.4.78 Avg=1028.13
10.132.4.76 Avg=1033.8
10.132.4.74 Avg=1045.37
10.132.4.88 Avg=348.863
10.132.4.90 Avg=406.533
10.132.4.96 Avg=0.836333
10.132.4.95 Avg=2.24333
10.132.4.104 Avg=1.722
10.132.4.116 Avg=1.05333
10.132.4.129 Avg=1.03367
10.132.4.135 Avg=5.13
10.132.4.141 Avg=0.929
10.132.4.146 Avg=1.24333
10.132.4.150 Avg=351.803
10.132.4.131 Avg=56.5
10.132.4.153 Avg=350.69
10.132.4.152 Avg=351.32
10.132.4.159 Avg=409.8
10.132.4.134 Avg=98.1767
10.132.4.165 Avg=1.00233
10.132.4.166 Avg=1.26
10.132.4.170 Avg=0.957667
10.132.4.173 Avg=1.28333
10.132.4.176 Avg=1.66333
10.132.4.178 Avg=0.782
10.132.4.183 Avg=342.137
10.132.4.186 Avg=353.66
10.132.4.190 Avg=1.06733
10.132.4.191 Avg=1.08067
10.132.4.195 Avg=2.52333
10.132.4.197 Avg=1.29333
10.132.4.199 Avg=1.139
10.132.4.204 Avg=1.234
10.132.4.208 Avg=1.74333
10.132.4.211 Avg=1.08767
10.132.4.213 Avg=1.07767
10.132.4.215 Avg=0.955
10.132.4.217 Avg=1.15
10.132.4.221 Avg=1.084
10.132.4.225 Avg=2.03433
10.132.4.228 Avg=1.67333
10.132.4.241 Avg=344.127
10.132.4.252 Avg=0.916667
10.132.4.250 Avg=76.1033
10.132.5.0 Avg=1.03167
10.132.5.9 Avg=0.994
10.132.5.10 Avg=2.17333
10.132.5.18 Avg=1.57667
10.132.5.28 Avg=1.29967
10.132.5.16 Avg=1.15233
10.132.5.24 Avg=1.33667
10.132.5.36 Avg=0.967667
10.132.5.25 Avg=0.892333
10.132.5.44 Avg=347.377
10.132.5.46 Avg=343.997
10.132.5.48 Avg=343.657
10.132.5.61 Avg=1036.53
10.132.5.71 Avg=1036.87
10.132.5.73 Avg=1022.8
10.132.5.79 Avg=0.957333
10.132.5.82 Avg=1.19033
10.132.5.86 Avg=1.72333
10.132.5.88 Avg=23.2567
10.132.5.97 Avg=1.11333
10.132.5.103 Avg=2.21
10.132.5.106 Avg=1.24
10.132.5.108 Avg=0.972
10.132.5.115 Avg=1.50233
10.132.5.118 Avg=1.04167
10.132.5.119 Avg=1.68
10.132.5.120 Avg=383.333
10.132.5.122 Avg=3.5
10.132.5.133 Avg=2.50667
10.132.5.141 Avg=246.247
10.132.5.146 Avg=1.53467
10.132.5.152 Avg=1.11
10.132.5.159 Avg=2.26
10.132.5.168 Avg=1.7
10.132.5.171 Avg=1.62667
10.132.5.177 Avg=1.23333
10.132.5.192 Avg=1.50333
10.132.5.195 Avg=1.58
10.132.5.193 Avg=1.32667
10.132.5.199 Avg=1.15667
10.132.5.203 Avg=1.08933
10.132.5.204 Avg=0.917
10.132.5.206 Avg=1.33
10.132.5.210 Avg=1.5
10.132.5.211 Avg=1.38
10.132.5.212 Avg=0.891667
10.132.5.215 Avg=1.29333
10.132.5.216 Avg=1.00767
10.132.5.217 Avg=1.07667
10.132.5.223 Avg=342.427
10.132.5.224 Avg=341.463
10.132.5.226 Avg=337.884
10.132.5.227 Avg=338.17
10.132.5.228 Avg=348.32
10.132.5.229 Avg=345.347
10.132.5.236 Avg=1.12233
10.132.5.241 Avg=1.279
10.132.5.240 Avg=1.45833
10.132.5.244 Avg=1.025
10.132.5.245 Avg=1.13333
10.132.5.247 Avg=3.16667
10.132.5.248 Avg=1.19967
10.132.5.249 Avg=1.37667
10.132.6.0 Avg=0.777
10.132.6.10 Avg=1.33
10.132.6.11 Avg=1.85333
10.132.6.19 Avg=346.717
10.132.6.25 Avg=353.921
10.132.6.30 Avg=353.318
10.132.6.34 Avg=482.93
10.132.6.18 Avg=540
10.132.6.41 Avg=1056.5
10.132.6.53 Avg=1.16333
10.132.6.61 Avg=1038.13
10.132.6.60 Avg=1039.73
10.132.6.86 Avg=0.830333
10.132.6.74 Avg=75.3333
10.132.6.91 Avg=1.22
10.132.6.85 Avg=151.91
10.132.6.101 Avg=1.59333
10.132.6.116 Avg=0.0586667
10.132.6.132 Avg=1.33667
10.132.6.135 Avg=1.162
10.132.6.138 Avg=0.951
10.132.6.143 Avg=1.057
10.132.6.148 Avg=1.07133
10.132.6.149 Avg=1.281
10.132.6.152 Avg=1.97333
10.132.6.154 Avg=1.80667
10.132.6.159 Avg=0.970667
10.132.6.163 Avg=1.34333
10.132.6.164 Avg=1.4
10.132.6.170 Avg=1.89333
10.132.6.186 Avg=0.967333
10.132.6.187 Avg=0.943667
10.132.6.190 Avg=1.04367
10.132.6.193 Avg=1.09467
10.132.6.192 Avg=2.12333
10.132.6.195 Avg=342.763
10.132.6.200 Avg=1.57
10.132.6.204 Avg=1.07467
10.132.6.206 Avg=1.23767
10.132.6.207 Avg=1.34
10.132.6.208 Avg=1.87667
10.132.6.209 Avg=1.75667
10.132.6.215 Avg=2.74333
10.132.6.218 Avg=2.63333
10.132.6.221 Avg=2.11167
10.132.6.226 Avg=1.138
10.132.6.58 Avg=2045
10.132.6.62 Avg=35
10.132.6.67 Avg=39.2
10.132.6.241 Avg=2.00667
10.132.6.240 Avg=1.56367
10.132.6.242 Avg=1.40133
10.132.6.243 Avg=2.13367
10.132.6.245 Avg=1.76
10.132.6.252 Avg=1.263
10.132.6.255 Avg=1.251
10.132.7.1 Avg=0.896333
10.132.7.0 Avg=0.872333
10.132.7.8 Avg=1.15233
10.132.7.6 Avg=1.546
10.132.6.253 Avg=193.733
10.132.7.32 Avg=2.47333
10.132.7.31 Avg=375.1
10.132.7.28 Avg=405.333
10.132.7.17 Avg=3.8835
10.132.7.18 Avg=3.565
10.132.7.37 Avg=61.6167
10.132.7.39 Avg=1025.07
10.132.7.48 Avg=50.7667
10.132.7.59 Avg=1.8
10.132.7.67 Avg=1.34333
10.132.7.72 Avg=1.62333
10.132.7.76 Avg=337.393
10.132.7.79 Avg=351.45
10.132.7.56 Avg=158.567
10.132.7.84 Avg=342.697
10.132.7.85 Avg=1.49333
10.132.7.86 Avg=1.38
10.132.7.87 Avg=1.07767
10.132.7.81 Avg=8.59
10.132.7.97 Avg=1.85667
10.132.7.99 Avg=1.05467
10.132.7.104 Avg=2.70333
10.132.7.110 Avg=0.909
10.132.7.112 Avg=1.90667
10.132.7.121 Avg=342.625
10.132.7.122 Avg=342.153
10.132.7.123 Avg=1.36
10.132.7.127 Avg=1.014
10.132.7.131 Avg=1.96
10.132.7.141 Avg=5.00667
10.132.7.142 Avg=1.95333
10.132.7.143 Avg=1.42
10.132.7.144 Avg=1.14533
10.132.7.152 Avg=1.151
10.132.7.160 Avg=346.833
10.132.7.162 Avg=130
10.132.7.168 Avg=1.91333
10.132.7.169 Avg=1.39
10.132.7.172 Avg=2.32
10.132.7.182 Avg=1.69367
10.132.7.188 Avg=1.33333
10.132.7.204 Avg=1.00533
10.132.7.206 Avg=2.94
10.132.7.207 Avg=1.31667
10.132.7.208 Avg=1.10467
10.132.7.212 Avg=1.32333
10.132.7.214 Avg=2.20333
10.132.7.211 Avg=81.1667
10.132.7.221 Avg=1.41
10.132.7.225 Avg=1.559
10.132.7.215 Avg=718
10.132.7.236 Avg=0.974667
10.132.7.251 Avg=1.67667
10.132.7.255 Avg=1.59333
10.132.8.0 Avg=2.84
10.132.8.3 Avg=0.914333
10.132.8.20 Avg=336.88
10.132.8.19 Avg=349.347
10.132.8.21 Avg=352.897
10.132.8.24 Avg=1.45
10.132.8.25 Avg=2.27667
10.132.8.29 Avg=1.38667
10.132.8.41 Avg=1.209
10.132.8.42 Avg=1.26
10.132.8.45 Avg=1.06867
10.132.8.51 Avg=2.37333
10.132.8.56 Avg=1.585
10.132.8.60 Avg=1.006
10.132.8.63 Avg=1.64
10.132.8.71 Avg=337.27
10.132.8.77 Avg=2.10667
10.132.8.80 Avg=5.07667
10.132.8.73 Avg=277.867
10.132.8.70 Avg=1.725
10.132.8.87 Avg=3.18667
10.132.8.86 Avg=7.24333
10.132.8.94 Avg=1.43667
10.132.8.99 Avg=1.00533
10.132.8.83 Avg=325.1
10.132.8.115 Avg=350.033
10.132.8.119 Avg=80.3667
10.132.8.122 Avg=1.55333
10.132.8.123 Avg=1.48667
10.132.8.124 Avg=2.77
10.132.8.134 Avg=1.95667
10.132.8.141 Avg=1.94833
10.132.8.144 Avg=2.25667
10.132.8.148 Avg=5.18667
10.132.8.152 Avg=76.1667
10.132.8.155 Avg=1.199
10.132.8.156 Avg=3.32667
10.132.8.162 Avg=1.76
10.132.8.138 Avg=515
10.132.8.164 Avg=2.40333
10.132.8.168 Avg=1.20833
10.132.8.178 Avg=2.21
10.132.8.186 Avg=3.53667
10.132.8.173 Avg=107.367
10.132.8.192 Avg=1.47667
10.132.8.190 Avg=84.5
10.132.8.207 Avg=1.37
10.132.8.213 Avg=2.09333
10.132.8.205 Avg=215.667
10.132.9.5 Avg=1.27
10.132.9.9 Avg=3.07667
10.132.9.14 Avg=344.39
10.132.9.18 Avg=2.02667
10.132.9.13 Avg=13.74
10.132.12.155 Avg=1.7
10.132.12.248 Avg=353.287
10.132.14.165 Avg=2.50667
10.132.16.64 Avg=1.11967
10.132.17.70 Avg=1.27
10.132.17.135 Avg=1.67333
10.132.18.182 Avg=1.301
10.132.19.42 Avg=2.14333
10.132.19.134 Avg=2.98333
10.132.20.91 Avg=1.27433
10.132.20.123 Avg=1.22333
10.132.21.48 Avg=0.941333
10.132.21.69 Avg=3.38667
10.132.21.126 Avg=1.74
10.132.22.59 Avg=1.28333
10.132.24.28 Avg=1.01733
10.132.25.82 Avg=1.28967
10.132.25.188 Avg=2.34333
10.132.25.210 Avg=1.81
10.132.26.27 Avg=1.94
10.132.26.152 Avg=1.44633
10.132.26.184 Avg=1.50333
10.132.27.125 Avg=2.15333
10.132.27.152 Avg=1.99667
10.132.27.182 Avg=1.32333
10.132.29.177 Avg=3.22
10.132.29.199 Avg=2.45333
10.132.29.216 Avg=2.11667
10.132.30.102 Avg=2.02667
10.132.30.240 Avg=2.24
10.132.31.157 Avg=1.88667
10.132.32.56 Avg=2.26667
10.132.32.135 Avg=3.28667
10.132.33.133 Avg=1.29667
10.132.34.177 Avg=1.82333
10.132.35.41 Avg=2.03667
10.132.35.80 Avg=1.98
10.132.35.228 Avg=1.66
10.132.36.103 Avg=1.7
10.132.36.174 Avg=1.52
10.132.37.255 Avg=1.75
10.132.38.212 Avg=1.98333
10.132.41.218 Avg=1.92
10.132.44.67 Avg=2.66667
10.132.45.120 Avg=1.77667
10.132.46.147 Avg=1.99333
10.132.46.252 Avg=2.05667
10.132.53.0 Avg=78.4
10.132.53.28 Avg=2.01667
10.132.54.208 Avg=2.08333
10.132.56.181 Avg=2.26
10.132.61.39 Avg=2.14333
10.132.64.91 Avg=2.14667
10.132.65.157 Avg=2.61333
10.132.66.66 Avg=2.25
10.132.68.166 Avg=1.77667
10.132.69.168 Avg=2.67333
